1525,Saxifraga berica
1527,Saxifraga florulenta
1530,Saxifraga presolanensis
1531,Ribes sardoum
1545,Trifolium saxatile
1546,Cytisus aeolicus
1547,Genista holopetala
1548,Astragalus maritimus
1555,Astragalus verrucosus
1557,Astragalus centralpinus
1558,Astragalus aquilanus
1572,Linum muelleri
1581,Kosteletzkya pentacarpos
1583,Daphne petraea
1591,Helianthemum caput-felis
1602,Petagnia saniculifolia
1604,Eryngium alpinum
1608,Rouya polygama
1613,Athamanta cortiana
1626,Primula spectabilis
1627,Primula apennina
1628,Primula palinuri
1629,Primula glaucescens
1630,Androsace mathildae
1634,Limonium insulare
1642,Limonium pseudolaetum
1643,Limonium strictissimum
1646,Armeria helodes
1656,Gentiana ligustica
1657,Gentiana lutea
1661,Galium litorale
1674,Anchusa crispa
1689,Dracocephalum austriacum
1710,Linaria tonzigii
1714,Euphrasia marchesettii
1715,Linaria flava
1720,Euphrasia genargentea
1725,Lindernia procumbens
1749,Physoplexis comosa
1750,Campanula morettiana
1751,Campanula sabatia
1757,Aster sorrentinii
1762,Arnica montana
1764,Artemisia genipi
1768,Lamyropsis microcephala
1790,Leontodon siculus
1791,Centaurea horrida
1798,Centaurea kartschiana
1841,Lilium rubrum
1849,Ruscus aculeatus
1850,Muscari gussonei
1866,Galanthus nivalis
1871,Leucojum nicaeense
1873,Crocus etruscus
1876,Iris marsica
1880,Stipa veneta
1883,Stipa austroitalica
1897,Carex panormitana
1898,Eleocharis carniolica
1900,Spiranthes aestivalis
1902,Cypripedium calceolus
1903,Liparis loeselii
1905,Ophrys lunulata
1927,Stephanopachys substriatus
1991,Sabanejewia larvata
1994,Hydromantes strinatii
2016,Pipistrellus kuhlii
2029,Globicephala melas
2030,Grampus griseus
2034,Stenella coeruleoalba
2035,Ziphius cavirostris
2097,Paeonia officinalis ssp. banatica
2621,Balaenoptera physalus
4001,Crocidura sicula
4011,Bolbelasmus unicornis
4019,Leptodirus hochenwarti
4026,Rhysodes sulcatus
4027,Arytrura musculus
4033,Erannis ankeraria
4046,Cordulegaster heros
4047,Brachytrupes megacephalus
4051,Myrmecophilus baronii
4056,Anisus vorticulus
4066,Asplenium adulterinum
4068,Adenophora lilifolia
4071,Campanula zoysii
4091,Crambe tataria
4096,Gladiolus palustris
4104,Himantoglossum adriaticum
4114,Linaria pseudolaxiflora
4124,Alosa agone
5003,Myotis alcathoe
5005,Myotis punicus
5009,Pipistrellus pygmaeus
5012,Plecotus macrobullaris
5013,Plecotus sardus
5031,Physeter catodon
5097,Barbus tyberinus
5304,Cobitis bilineata
5305,Cobitis zanandreai
5349,Salmo cetti
5365,Hypsugo savii
5370,Emys trinacris
6136,Elaphe lineata
